Days,Room
TuTh 9:30am - 10:45am,New Cabell Hall 027
MoWeFr 10:00am - 10:50am,New Cabell Hall 027
TBA,TBA
MoWe 3:30pm - 4:45pm,Wilson Hall 402
TuTh 9:30am - 10:45am,Clark Hall 107
TuTh 12:30pm - 1:45pm,Clark Hall 107
MoWeFr 9:00am - 9:50am,Clark Hall 107
MoWeFr 11:00am - 11:50am,Clark Hall 107
MoWe 2:00pm - 3:15pm,Clark Hall 107
MoWeFr 10:00am - 10:50am,Clark Hall 107
MoWeFr 12:00pm - 12:50pm,Clark Hall 107
TuTh 2:00pm - 3:15pm,Clark Hall 107
MoWeFr 11:00am - 11:50am,Chemistry Bldg 206
Fr 3:00pm - 3:50pm,Olsson Hall 001
MoWeFr 11:00am - 11:50am,New Cabell Hall 232
MoWeFr 10:00am - 10:50am,Shannon House 107
MoWeFr 9:00am - 9:50am,New Cabell Hall 323
TuTh 9:30am - 10:45am,Astronomy Bldg 265
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TuTh 9:30am - 10:45am,Astronomy Bldg 265
TuTh 9:30am - 10:45am,Shannon House 111
MoWe 2:00pm - 3:15pm,Astronomy Bldg 265
TuTh 2:00pm - 3:15pm,Astronomy Bldg 265
Tu 3:30pm - 4:45pm,Astronomy Bldg 265
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
